Feature	Chi2 Score	p-value
ABBLEED2	1939.8682332953679	0.0
EMOTION2	1936.9228283980206	0.0
PELVICP2	1936.5885590660196	0.0
ENDO2	1931.8607064689156	0.0
ENDODIF2	1931.5727464078225	0.0
DIFFCAN2	1930.5663661532403	0.0
DIFFPRO2	1929.4974740700657	0.0
PROLAPS2	1927.8473492139556	0.0
PCANCER2	1927.3885891161774	0.0
PRIMARY2	1926.948406920375	0.0
PRIMAR12	1926.8187874720563	0.0
OBSTETR2	1926.8187874720563	0.0
OBSTET12	1926.8187874720563	0.0
PRACTIT2	1926.8187874720563	0.0
PRACTI12	1926.8187874720563	0.0
PSYCHIA2	1926.8187874720563	0.0
PSYCHI12	1926.8187874720563	0.0
PSYCHOL2	1926.8187874720563	0.0
PSYCHO12	1926.8187874720563	0.0
OTHER2	1926.8187874720563	0.0
OTHER12	1926.8187874720563	0.0
OTHER_S2	1926.8187874720563	0.0
FXHDAY2	1897.5052460358415	2.1382082468381385e-71
DADCOD2	1890.2698856606662	1.0702786716806877e-13
INTDAY2	1535.5143556779485	6.85532496934416e-40
LMPDAY2	1466.2057366562294	1.784797737261482e-07
FLGSABV2	1451.6977846616394	1.54771309599217e-310
PELVIC2	1430.4607301837148	1.5271103149379513e-287
LUBRICN2	1425.5126498200714	1.7450279286482888e-286
LANGSAB2	1424.0214449975642	9.204067356471346e-298
PHYDAY2	1421.5169283191312	1.4313896087475153e-31
INTCOUR2	1420.3295539147439	4.156920308601143e-288
IMPORSE2	1418.3323169819482	1.653613934858771e-290
SATISFY2	1418.0314024112163	1.2916277183393927e-287
NOSEXOT2	1416.1743139081684	4.528772882077564e-296
ENGAGSE2	1415.1941898067316	4.029429814849762e-299
TOUCHIN2	1414.6241771766781	6.935786963715455e-287
MASTURB2	1413.6060600965386	1.1460692634345755e-286
AROUSED2	1412.2644077751602	2.2214416973544157e-286
DESIRSE2	1411.668162583511	4.458586152113282e-289
ORALSEX2	1411.0167849632817	4.110660111874526e-286
KISSING2	1409.3719977139274	9.25267557428512e-286
PHYSPLE2	1408.6032072115306	1.3519484385920935e-285
NOPARTN2	1407.5400514178746	3.2932594977401994e-294
PHYSPRO2	1406.5254561416689	5.44977947652746e-294
PARTPRO2	1406.5043241297358	5.50725402121187e-294
SPEDAY2	1392.20648369026	9.201390350030028e-18
HRMDAY2	1326.6874258086486	8.113881054146537e-14
BCDIAMG2	747.7941294236206	2.204158009815136e-91
BCDIAM12	472.4446842320351	7.719409286457365e-33
SISAGE12	444.3285086248834	6.724672786668836e-19
SYSBP22	396.2251696768782	8.754995665698706e-18
SYSBP12	391.96617335936503	8.248598916931641e-16
AGE2	389.35840481199267	2.538381307306977e-59
PULSE2	368.77687610901955	1.2767414258601436e-28
BCOTH12	366.14372183852515	0.00537420755737286
SISAGE32	344.5352975280409	1.4024597024428202e-11
DIABP12	331.87930022488155	4.19775310122941e-21
DIABP22	324.7742461673814	1.136351313170997e-17
RELAT42	309.10539634982007	1.378106353532857e-13
SISAGE22	299.3135234196026	4.341977581235069e-06
VISIT_x	279.81049682429705	1.72491954437671e-57
BCOTH22	276.9554667183638	3.5929530184519466e-20
LONELY2	275.6230566984582	6.058829878250902e-52
HYSTDAY2	273.3534376924331	2.9721493109504615e-18
AGESTO12	272.68233267503103	6.774626644176119e-14
HAPPY2	267.8288323064606	2.588574627899285e-50
DISLIKE2	267.03828300265656	3.787532509866621e-50
QLTYLIF2	265.18187233175803	4.506033007861378e-38
DEPRESS2	264.35798174596886	1.37606680723733e-49
BLUES2	261.3772998676676	5.7737129988465665e-49
BOTHER2	259.55238094401204	1.3887899727894842e-48
FAILURE2	258.68484806460543	2.1076875579033e-48
KEEPMIN2	257.4574658844918	3.802623083357729e-48
CLOSE2	256.2453749842168	7.570386914361562e-21
TALKLES2	255.61227379299086	9.231395164482957e-48
ENJOY2	254.98435058869887	1.2483060499260654e-47
EFFORT2	254.2663297650696	1.7626382313495967e-47
HOPEFUL2	251.31441116138615	7.2780034298607e-47
PILING2	250.57869127500365	9.435778856672373e-45
GETGOIN2	250.3196201390992	1.1735083756333644e-46
FEARFUL2	248.72542656327903	2.5229072063677395e-46
AGE42	246.93448978212345	0.021437794202635998
APPETIT2	244.39160771214804	2.0189510461255386e-45
BCDIAO22	239.41854991779698	7.573784616979275e-20
UNFRNDL2	234.9122257892555	1.89836256999539e-43
RELAT72	231.78909845604014	1.8784215606137913e-30
FLGINTV2	231.62506769741034	3.445373700417505e-47
HELPSIC2	229.30530610060288	2.217990032876087e-40
RELAT32	227.22052761298872	0.006452016968420655
RESTLES2	226.13682960577987	1.2647269391231647e-41
GOOD2	225.5656713390364	1.6618073143558732e-41
TAKETOM2	225.3724607514103	1.4176756932777548e-39
BCDIAM32	223.99644667252213	6.20375712582889e-33
CONFIDE2	221.65364575454615	8.176661925939908e-39
CONTROL2	221.00114565071718	1.1117846019601903e-38
CRYING2	220.76391260931007	1.6480666624079392e-40
OSTEOPR2	220.6301126945305	1.5425131959795404e-42
OSTEPR12	219.14044675479926	1.5868596088817214e-44
YOURWAY2	217.9823744514472	4.6034305801472826e-38
SAD2	217.74812556192373	6.954345404375785e-40
MARITAL2	216.15801882132672	2.331473823388187e-34
LISTEN2	214.05128401240069	2.9230070855042517e-37
BMDFLG2	213.55969525764678	2.4557486594682075e-43
HTMETHO2	209.80214021236202	2.908854964056393e-40
LANGINT2	206.96508346125535	1.1872603745512054e-37
STATUS2	205.54614934828643	8.797280557488989e-31
MOMAGE2	202.69647538055463	1.5244176084654299e-06
SCALE2	201.12400233117282	1.911534362234501e-36
ABILITY2	200.35914633725542	1.79603925372639e-34
HBCHOLE2	200.18698320978189	3.0270777879004254e-38
BCKPAIN2	199.62720982571918	3.9661003081485945e-38
ESTRNJ12	196.7122686353122	9.5033554347855e-40
OTHMED12	196.5183738010002	1.0450398261482576e-39
HEARTAT2	196.48739992412098	1.0610191315894538e-39
OUTCOME2	195.36473666737595	2.9482072118456415e-35
DIURET12	195.3361687682377	1.8649100911732847e-39
CHNGJOB2	194.5409502559433	2.7531538755000166e-39
OSTEOAR2	194.05467215107802	5.832221491249975e-37
MIGRAIN2	193.9349409749316	6.17881195163355e-37
REGVITA2	191.90237624194748	1.002422818339854e-38
HYSTERE2	191.80878027125303	1.7219272322960634e-36
OOPHORE2	191.44654697851232	1.253109233846466e-38
HOUSEHL2	190.83299122661677	1.692239690561217e-38
VOLUNTE2	190.74143440251325	1.7698266499405027e-38
ANTICO12	189.90167574406854	2.66986792004237e-38
SLEEP12	189.69838621258762	2.949259706687745e-38
BROKEBO2	189.6025005697801	4.5341700520088845e-34
ANGINA2	189.46012439645105	3.314139545989149e-38
CHOLST12	189.37389686448634	3.4570338457185765e-38
ANEMIA2	189.25648616670276	5.8897040282073197e-36
COMBIN12	189.20377441646602	3.7572739178450057e-38
UTERPRO2	189.02230323426735	6.593011492283908e-36
BP12	189.00702393970374	4.1371620521691786e-38
THYROID2	188.9026969071656	6.984000063995184e-36
DANDC2	188.87570670534197	4.411846698600741e-38
OTC12	188.78642787661386	4.6089367339442083e-38
HIGHBP2	188.67391817358262	7.797595622226511e-36
PROGES12	188.55590951823925	5.159494782155348e-38
INSULN12	188.31616045447052	5.801958758480854e-38
FIBROID2	188.1433453059348	1.0067897092251674e-35
THYROI12	188.06870083464545	6.549072733169573e-38
STEROI12	187.94524400937183	6.957029107736528e-38
HEART12	187.90029409011035	7.111791588264689e-38
NERVS12	187.50435470141068	8.632637059467009e-38
BCP12	187.15675129942795	1.0233638804853873e-37
FERTIL12	187.09498470315438	1.0547727221859134e-37
THYRREM2	187.09498470315438	1.0547727221859134e-37
DIABETE2	186.20853311061623	2.5558533851858586e-35
STROKE2	185.88694659456766	2.983794122898156e-35
PAIN12	185.2190911199441	2.641467237951164e-37
BCDIAO12	179.41958570289376	0.09644233708707349
PRGNANT2	179.0886336356079	5.2983749364185493e-36
BLEEDNG2	177.66806914115483	1.0611446931131728e-35
CANCERS2	172.0095994652592	1.685403356892706e-34
ESTROG12	171.4998193322684	2.161987509719962e-34
RELAT52	171.3535880081639	2.073171283377533e-05
SISAGE52	170.39915937430288	0.0657412461639422
HIPMEAS2	169.6831433560211	5.250465907058526e-34
BONES12	166.0499076367068	0.009711309774095789
WASTMEA2	160.96908328971762	3.691420731167057e-32
AGE72	159.59340733004643	2.281713770627869e-12
AGE62	150.12217836654452	1.254829159044585e-05
BCDIAM22	148.31022411979473	1.9123762786439792e-05
RELAT62	142.34605387673304	6.867622890791154e-10
AGESTO32	132.1099608668023	0.00130746639147338
SPSCMOD2	112.64398150060507	5.693966316657639e-22
NUMBROS2	87.48414570606525	4.863799163732161e-05
DIANUMS2	75.21804014685887	5.170996766448692e-10
FLGCV2	73.84326597561383	6.640250965891167e-14
FLGDIF2	73.63436539069416	7.330821257749863e-14
DIURTW22	67.21680104430641	1.5196816226779012e-12
STRNUMB2	62.026405862917926	5.445697155435985e-10
BLDRWAT2	60.89256746652323	1.551239935231658e-08
BONES22	59.23067639268661	1.668699484055409e-05
EATDRIN2	59.06681941974144	6.962886776813965e-11
PREGNAN2	59.024522343431016	2.0658929145513303e-09
STRTPER2	57.14584871721026	1.7068347343509031e-10
BLDDRAW2	56.131945421859065	2.737514363725772e-10
ALCHL242	56.00251478067251	2.907556346700459e-10
BPNUMSI2	48.57637097352691	0.006615642778478655
FLGSAAV2	47.383701779197025	2.8800894050715767e-10
RACE	46.41974507227508	5.873113885404558e-06
HIPBRO2	41.05710762065261	4.793693426586955e-05
DIURET22	39.866758377783704	4.838180218838625e-07
HRTNUMB2	38.38890481033373	1.4841982889184006e-05
HIPNUMB2	35.739885084841845	3.0967894915213478e-06
VITOTH12	35.2347752585272	0.00042963828214452344
HOURSPA2	33.36357363295006	0.015076736201787986
ESTRDA22	31.92928718922976	1.6834850719035847e-05
BCNUMMA2	31.59199028236374	0.02456125497324787
STRNUMS2	31.33619042480599	2.1864273054831688e-05
DESCPER2	30.816841531687047	0.030222681623714137
SISSTO32	26.691999961582866	0.08495640754730528
SISPER22	25.38194588570724	0.013113118325072561
PAINTW12	24.644812798361762	0.00039721194909816943
SISPER42	23.837868680017284	0.004565132271607842
ESTRTW22	23.759446586882845	0.000578222447084214
OHDNUMB2	23.357344012662995	0.02484092384513647
JOB2	23.00779847657028	0.0007938708971342249
HIPSIS2	22.9972366755347	0.027749411099459397
MENSFLO2	22.800020271189805	0.006661410566610485
BCMGR2	22.220570129640976	0.0011043187448698082
ONEOVAR2	22.166315647344828	0.03569754164878015
SEX42	21.972348266752377	0.0012249230026733207
BLD3MON2	21.800986222702583	0.00131562378169347
DIABSIS2	21.44203813385806	0.04427030220321658
ANTIOXI2	21.274943230599586	0.04649641743995725
ESTROG22	20.660347420001195	0.0021109389068016764
OTC52	19.7903540591183	0.0030175959463314105
SISLVN22	19.754827363582237	0.01948722581741697
OHDBRO2	19.58382347776592	0.07537965296224011
SEX82	19.35794925131824	0.003599941894194538
ONCEADA2	19.245851989840126	0.08276555090872102
HAPPEN22	18.91488306983585	0.004309823475914324
SEX72	18.872941279763417	0.004383684382053648
ESTRNJ22	18.784346141609852	0.004543773264132283
SEX52	18.583684980063303	0.0049276658095839445
LANGFHX2	18.317432588955395	0.031664341274066886
SISPER92	18.235088679217284	0.0325420062544044
BPTW22	17.452418690903535	0.00775674403693421
HRTNUMS2	16.797027733199005	0.010058868692188723
PAINTW22	16.70625686081368	0.010425634581497735
HAPPEN12	16.626113774964423	0.01076015164668955
OTHRTW12	16.355889222739858	0.011966029151950901
DIURTW12	15.44011612741441	0.017096387399667175
PAIN22	15.430105939982614	0.017162708267644915
BCOTH2	15.251674670583679	0.08425085090647197
PREVBLO2	14.83673993472221	0.021565234263520614
BCMOM2	13.723256860640374	0.03288503088043702
OTC22	13.660880055652106	0.03366244862098741
OTHMED22	13.0906716041084	0.04161845920294084
OTCTW42	12.89345579301174	0.044759424840889045
HIPNUMS2	12.647942432650556	0.0054632423440191214
SEX12	12.50041980623532	0.05169206117521574
OTCTW22	12.278298852139061	0.05604059397434303
ROTAT12	12.17810552718493	0.05811141131779952
OTC32	12.004061316371098	0.06187826274918231
DEPRDAD2	11.420998799956525	0.07620442133839349
OTC42	11.34149901759029	0.07837826977411516
OTHME102	10.784804438684574	0.09525939363800962
AGESTO92	8.38107798974111	0.03875877005298178
SISSTO92	8.38107798974111	0.03875877005298178
AGEST102	8.38107798974111	0.03875877005298178
SISTO102	8.38107798974111	0.03875877005298178
EINJTW22	8.38107798974111	0.03875877005298178
OTHTW132	8.38107798974111	0.03875877005298178
OTHME142	8.38107798974111	0.03875877005298178
OTHTW142	8.38107798974111	0.03875877005298178
OTHME152	8.38107798974111	0.03875877005298178
OTHTW152	8.38107798974111	0.03875877005298178
